date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,1.0
2018-12-17,1.0
2018-12-18,1.0
2018-12-19,1.0
2018-12-20,1.0
2018-12-21,1.0
2018-12-24,1.0
2018-12-25,1.0
2018-12-26,0.9999736842105263
2018-12-27,1.000147767504794
2018-12-28,1.001012609294062
2019-01-02,0.999725130801476
2019-01-03,1.0001650864614555
2019-01-04,0.9994421751489845
2019-01-07,0.9991518866641812
2019-01-08,0.9994499507338207
2019-01-09,0.9994474970841789
2019-01-10,0.9972772262781233
2019-01-11,0.9985492290615562
2019-01-14,0.9956448883099231
2019-01-15,1.002930649042013
2019-01-16,1.0032393608336772
2019-01-17,1.0007231127345295
2019-01-18,1.018617648089784
2019-01-21,1.0217436090751266
2019-01-22,1.0004621931483662
2019-01-23,1.0051263811381355
2019-01-24,1.0221259034544978
2019-01-25,1.0312723933093222
2019-01-28,1.0348893051694805
2019-01-29,1.0499864126054836
2019-01-30,1.041436567615737
2019-01-31,1.062042963323987
2019-02-01,1.0764815137662966
2019-02-11,1.1060800378335238
2019-02-12,1.1183260642907167
2019-02-13,1.1425296717244302
2019-02-14,1.1547863935440785
2019-02-15,1.1273012694228919
2019-02-18,1.1862557411420824
2019-02-19,1.1785488641252428
2019-02-20,1.1941712375387394
2019-02-21,1.1951890123115372
2019-02-22,1.2228274772274277
