date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,0.9999736842105263
2018-11-13,0.9999091315302179
2018-11-14,0.9993328076114014
2018-11-15,1.000082590174432
2018-11-16,1.0006121118834368
2018-11-19,1.0013857768000702
2018-11-20,1.0000871028760943
2018-11-21,0.9994870761679037
2018-11-22,0.9989593388322634
2018-11-23,0.9977657898911723
2018-11-26,0.9980289682545623
2018-11-27,0.9956615403631449
2018-11-28,0.998567145741976
2018-11-29,0.9957461293110816
2018-11-30,0.9976567417557654
2018-12-03,1.009060252905824
2018-12-04,1.0095127660080425
2018-12-05,1.0092755643647413
2018-12-06,1.0086089975436845
2018-12-07,1.009037696422582
2018-12-10,1.0083230571600417
2018-12-11,1.0098533350684122
2018-12-12,1.010992201851358
2018-12-13,1.0178362722301657
2018-12-14,1.0139438288969413
2018-12-17,1.01045608811605
2018-12-18,1.008966774386092
2018-12-19,1.0039456400982727
2018-12-20,1.0017401904606869
2018-12-21,0.9977619533305088
2018-12-24,1.004074842800402
2018-12-25,1.0019401177675973
2018-12-26,0.9955035787309507
2018-12-27,0.989021460279396
2018-12-28,0.9915273240964291
2019-01-02,0.949294452518116
2019-01-03,0.8922994255159319
2019-01-04,1.162107213648379
2019-01-07,1.1535610049857175
2019-01-08,1.1541375781405636
2019-01-09,1.2280062661194198
2019-01-10,1.2195539001801878
2019-01-11,1.2369611581960611
2019-01-14,1.2347846764313488
2019-01-15,1.2394570441153683
2019-01-16,1.2366523895441515
2019-01-17,1.2370449867700095
2019-01-18,1.240352456093527
2019-01-21,1.2406874166251247
2019-01-22,1.2382742013432162
2019-01-23,1.2382090290168297
2019-01-24,1.2360122050330673
2019-01-25,1.237656031350395
2019-01-28,1.2378090574127973
2019-01-29,1.2356067171738039
2019-01-30,1.235047104636524
2019-01-31,1.2349161019840253
2019-02-01,1.2388786767749398
