date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,0.999
2018-10-24,0.9848878294212977
2018-10-25,0.9510884202859978
2018-10-26,0.9370899521192648
2018-10-29,0.8575618383680669
2018-10-30,0.8459009302997184
2018-10-31,0.8838223194087078
2018-11-01,0.6840897741576757
2018-11-02,2.9650848873500135
2018-11-05,2.7229047523546064
2018-11-06,2.4240244917466858
2018-11-07,2.161726682316942
2018-11-08,2.283145058919449
2018-11-09,2.2130492173317546
2018-11-12,2.499464259966296
2018-11-13,5.018580435722863
2018-11-14,4.839733565633912
2018-11-15,6.287944202241916
2018-11-16,6.7521859891144675
2018-11-19,7.002072788547394
2018-11-20,6.656442835056091
2018-11-21,7.959658363475111
2018-11-22,7.9001872179923165
2018-11-23,7.496496208475143
2018-11-26,7.478790287757397
2018-11-27,7.286854333154432
2018-11-28,7.746976181713394
2018-11-29,130.68774885629063
2018-11-30,134.77018260894752
2018-12-03,143.95979109287026
2018-12-04,142.53584960327714
2018-12-05,142.71321001763965
2018-12-06,138.72272764553065
2018-12-07,138.8010427285758
2018-12-10,136.62266474299278
2018-12-11,137.98480755225648
2018-12-12,139.87576475858594
2018-12-13,147.31160457290903
2018-12-14,142.7533986746072
2018-12-17,140.23464110759383
2018-12-18,140.70808601240975
2018-12-19,132.22845825502756
2018-12-20,134.54920125888813
2018-12-21,130.05683001107892
2018-12-24,135.8888796742519
2018-12-25,127.43964459500847
2018-12-26,112.32599482844525
2018-12-27,102.28946263521621
2018-12-28,102.7368211128789
2019-01-02,85.77907757681928
2019-01-03,59.50642816338439
2019-01-04,169.96643228400717
2019-01-07,159.51098518393502
2019-01-08,155.2484549517331
2019-01-09,234.88548497655546
2019-01-10,242.31872325272278
2019-01-11,242.71332649218843
2019-01-14,241.05469848775365
2019-01-15,244.1458779967538
2019-01-16,243.3910168427189
2019-01-17,242.67003869494496
2019-01-18,252.30572027087842
2019-01-21,255.3666973227834
2019-01-22,249.77072224109307
2019-01-23,249.30178390363707
2019-01-24,245.96042230260238
2019-01-25,250.82965936250278
2019-01-28,252.0644057141411
2019-01-29,252.88763116029395
2019-01-30,251.8391857689487
2019-01-31,251.41486661554666
