date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,1.0
2018-12-17,1.0
2018-12-18,1.0
2018-12-19,1.0
2018-12-20,1.0
2018-12-21,1.0
2018-12-24,1.0
2018-12-25,1.0
2018-12-26,1.0
2018-12-27,1.0
2018-12-28,1.0
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-07,1.0
2019-01-08,1.0
2019-01-09,1.0
2019-01-10,0.9996052631578948
2019-01-11,1.0009438460349365
2019-01-14,0.995344643927296
2019-01-15,1.0131457168854912
2019-01-16,1.0073936556308332
2019-01-17,1.005887988202665
2019-01-18,1.0282685135359755
2019-01-21,1.0297524500168764
2019-01-22,1.0098819230723055
2019-01-23,1.0141512191533248
2019-01-24,1.0272473094000298
2019-01-25,1.0352548297082274
2019-01-28,1.0350995194608528
2019-01-29,1.0407568335122817
2019-01-30,1.0341618165057462
2019-01-31,1.0486177894788016
2019-02-01,1.0647339480178528
2019-02-11,1.0923842521978144
2019-02-12,1.101632092785721
2019-02-13,1.1220754386647553
2019-02-14,1.1317862011253892
2019-02-15,1.0965737637049808
2019-02-18,1.1478107284257304
2019-02-19,1.1404185899063053
2019-02-20,1.1526434623895008
2019-02-21,1.1559761375978486
2019-02-22,1.1795368910954356
2019-02-25,1.254990025487758
2019-02-26,1.226006559482896
2019-02-27,1.2057224977629983
