,equity
2018-01-02,0.9995
2018-01-03,0.9901282759711466
2018-01-04,0.9841005683641605
2018-01-05,0.9829860991707691
2018-01-08,0.9850739276263429
2018-01-09,0.9780681912041334
2018-01-10,0.9717436119425922
2018-01-11,0.9795751310286903
2018-01-12,0.979949840308714
2018-01-15,0.9846899942200958
2018-01-16,0.9865416855630431
2018-01-17,0.9817380793266551
2018-01-18,0.9837624950228038
2018-01-19,0.9988021783329254
2018-01-22,0.9932230156960558
2018-01-23,0.9995792980283166
2018-01-24,0.9887479025928748
2018-01-25,0.9850221771746317
2018-01-26,0.9904997841076314
2018-01-29,0.9893230294270445
2018-01-30,0.9936264326262312
2018-01-31,0.9932750237620274
2018-02-01,0.9948267275605047
2018-02-02,0.9922289206384327
2018-02-05,1.0051430096716911
2018-02-06,1.0170956777901512
2018-02-07,1.0113064807371352
2018-02-08,1.0066549174667347
2018-02-09,1.013562495340294
2018-02-12,1.012531956786696
2018-02-13,1.0079784235433937
2018-02-14,1.003107856733826
2018-02-15,1.0014664838409073
2018-02-16,1.0086191608721833
2018-02-19,1.0107477521169528
2018-02-20,1.019579281891853
2018-02-21,1.0238208201352146
2018-02-22,1.0276452129719735
2018-02-23,1.0243867690405197
2018-02-26,1.0230060072745724
2018-02-27,1.0310766199950834
2018-02-28,1.0399112919812823
2018-03-01,1.016139692947087
2018-03-02,1.0105930713043614
2018-03-05,1.009473020658455
2018-03-06,1.0148402132188952
2018-03-07,1.0193544057315578
2018-03-08,1.0382383982181418
2018-03-09,1.020888855745229
2018-03-12,1.0288227843153774
2018-03-13,1.0286069532410278
2018-03-14,1.0315221951498328
2018-03-15,1.027686799912829
2018-03-16,1.034537824582988
2018-03-19,1.0276789650333726
2018-03-20,1.0178219832944306
2018-03-21,1.0043029231080043
2018-03-22,0.9953363770659276
2018-03-23,0.99844502806868
2018-03-26,1.0058859792375439
2018-03-27,1.0253321036508871
2018-03-28,1.0100046636294004
2018-03-29,0.9909943380461718
2018-03-30,0.9869587459590562
2018-04-02,0.983645302326199
2018-04-03,0.9910979755661912
2018-04-04,0.9892130697763658
2018-04-05,0.9898094757553964
2018-04-06,0.9919684509403808
