date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,0.999
2018-10-24,0.9997203193211259
2018-10-25,0.9796564721203478
2018-10-26,0.9800212996127888
2018-10-29,0.9185116878100145
2018-10-30,0.9442207958046474
2018-10-31,1.0013839683268038
2018-11-01,0.9783034889443244
2018-11-02,1.6403126019862841
2018-11-05,1.575374576393696
2018-11-06,1.5171924225814315
2018-11-07,1.461963102665813
2018-11-08,1.4955099758796884
2018-11-09,1.4567216629352464
2018-11-12,1.5140415778784253
2018-11-13,1.9408390426244317
2018-11-14,1.904949157679196
2018-11-15,2.159587510033697
2018-11-16,2.232107021994479
2018-11-19,2.27862094788368
2018-11-20,2.1847288520056263
2018-11-21,2.3496195768348587
2018-11-22,2.3306842929485745
2018-11-23,2.2300916081403397
2018-11-26,2.2292397595446207
2018-11-27,2.190974021325808
2018-11-28,2.283088096061706
2018-11-29,10.94631113649138
2018-11-30,11.130641254757371
2018-12-03,11.754516337340286
2018-12-04,11.657124017744852
2018-12-05,11.57679433416578
2018-12-06,11.192279775933605
2018-12-07,11.15940352833794
2018-12-10,10.873697929948264
2018-12-11,10.99258803097054
2018-12-12,11.145908006298873
2018-12-13,11.632960284216002
2018-12-14,11.375163157421781
2018-12-17,11.254007361677804
2018-12-18,11.273457603341837
2018-12-19,10.62111855372523
2018-12-20,10.686649035680762
2018-12-21,10.143056173245993
2018-12-24,10.306698832312646
2018-12-25,9.93292646218568
2018-12-26,9.26134277968201
2018-12-27,8.90744452256887
2018-12-28,9.006360698677705
2019-01-02,8.298572382691967
2019-01-03,7.336448328539508
2019-01-04,11.462143331003764
2019-01-07,11.483584015127123
2019-01-08,11.322649640170978
2019-01-09,13.429421521917273
2019-01-10,14.023947634364191
2019-01-11,14.12416999787079
2019-01-14,13.996073232363054
2019-01-15,14.27483807378141
2019-01-16,14.090641555988485
2019-01-17,14.03436915522736
2019-01-18,14.454370554480755
2019-01-21,14.576464288674954
2019-01-22,14.280393271988498
2019-01-23,14.281517877758846
2019-01-24,14.14664776241502
2019-01-25,14.411161663287325
2019-01-28,14.44135963078335
2019-01-29,14.402753404450062
2019-01-30,14.299174822591338
2019-01-31,14.305260715254233
