date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,1.0
2018-12-17,1.0
2018-12-18,1.0
2018-12-19,1.0
2018-12-20,1.0
2018-12-21,1.0
2018-12-24,1.0
2018-12-25,1.0
2018-12-26,1.0
2018-12-27,1.0
2018-12-28,1.0
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-07,1.0
2019-01-08,1.0
2019-01-09,1.0
2019-01-10,0.999
2019-01-11,0.9978181522113021
2019-01-14,0.9869247570639543
2019-01-15,1.0252970244187878
2019-01-16,1.0271654007149862
2019-01-17,1.026446446321294
2019-01-18,1.079093105419586
2019-01-21,1.0862869719254955
2019-01-22,1.0294102586335814
2019-01-23,1.0353773657360676
2019-01-24,1.1132013857268017
2019-01-25,1.123271199182217
2019-01-28,1.1347771426910287
2019-01-29,1.2084257940730636
2019-01-30,1.1858327450699877
2019-01-31,1.2248483104145227
2019-02-01,1.2687629089527437
2019-02-11,1.3786185695030377
2019-02-12,1.4268339248571473
2019-02-13,1.4546672056399703
2019-02-14,1.4958464855025493
2019-02-15,1.4989560634140393
2019-02-18,1.6482477768802768
2019-02-19,1.6557655172770063
2019-02-20,1.695072806603881
2019-02-21,1.7117797794194904
2019-02-22,1.7520077670242458
2019-02-25,1.8492030653025107
2019-02-26,1.8049468494020182
2019-02-27,1.734939751094558
