date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,0.9994473684210526
2018-11-27,1.0023041332875975
2018-11-28,1.0228885164134354
2018-11-29,1.0175318757793543
2018-11-30,1.0256171199016244
2018-12-03,1.0475110358322062
2018-12-04,1.0478606057954911
2018-12-05,1.0645333569675008
2018-12-06,1.0368293037782252
2018-12-07,1.0353361447900307
2018-12-10,1.0229202089756726
2018-12-11,1.0270615808814865
2018-12-12,1.0332141402987935
2018-12-13,1.0500774632933856
2018-12-14,1.0350274085165827
2018-12-17,1.030042958273909
2018-12-18,1.0239144751753637
2018-12-19,1.0078433776652662
2018-12-20,1.0027453301649352
2018-12-21,0.99246252357096
2018-12-24,1.0012299417126158
2018-12-25,0.9936491767754656
2018-12-26,0.9856562725671238
2018-12-27,0.977294088741584
2018-12-28,0.98275542367641
2019-01-02,0.9689801126909221
2019-01-03,0.9466680988453976
2019-01-04,0.9490942239790598
2019-01-07,0.9521966850961352
2019-01-08,0.9532707411073958
2019-01-09,0.953957965511785
2019-01-10,0.9516704668698514
2019-01-11,0.9532250348359587
2019-01-14,0.9511751817486258
2019-01-15,0.9578309392472382
2019-01-16,0.9583949167392783
2019-01-17,0.9554549564118442
2019-01-18,0.9727025666653903
2019-01-21,0.9721333748409731
2019-01-22,0.9603410004362314
2019-01-23,0.9677347304422563
2019-01-24,0.9834660418580802
2019-01-25,0.9941441477942738
2019-01-28,1.0003851520950138
2019-01-29,1.0156803721326229
2019-01-30,1.0053932379314812
2019-01-31,1.0302115167463577
2019-02-01,1.0509397652395882
2019-02-11,1.0818402073020483
2019-02-12,1.0937901440212958
2019-02-13,1.1150839979479246
