date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,0.9993815789473685
2018-11-13,1.0453931936689878
2018-11-14,1.0616785850583856
2018-11-15,1.0790370191347625
2018-11-16,1.0673456305281412
2018-11-19,1.0315317484067617
2018-11-20,1.0615531964767
2018-11-21,1.0744668124341665
2018-11-22,1.0758708243728
2018-11-23,1.076094858935063
2018-11-26,1.076727235548311
2018-11-27,1.0732397509245262
2018-11-28,1.1171674056581604
2018-11-29,1.811445625501683
2018-11-30,1.7034138616009544
2018-12-03,1.673011127640448
2018-12-04,1.6642789148574715
2018-12-05,1.6805432787963261
2018-12-06,1.7040630642075183
2018-12-07,1.7039264676034747
2018-12-10,1.6929700931945642
2018-12-11,1.7005095158858454
2018-12-12,1.6997385070724786
2018-12-13,1.7123426865735452
2018-12-14,1.714926638692855
2018-12-17,1.7011042921727992
2018-12-18,1.704111093640404
2018-12-19,1.6716787968062232
2018-12-20,1.6713199627199575
2018-12-21,1.6459057320613741
2018-12-24,1.6649951287712281
2018-12-25,1.6505770110293858
2018-12-26,1.621790405967355
2018-12-27,1.6002645989959916
2018-12-28,1.606172485064415
2019-01-02,1.5785079487819156
2019-01-03,1.5380741205010051
2019-01-04,1.7221690950519954
2019-01-07,1.7336111228983453
2019-01-08,1.7289557885716555
2019-01-09,1.7439166184814003
2019-01-10,1.7418458721867276
2019-01-11,1.7472702885658062
2019-01-14,1.777735789795303
2019-01-15,1.8515448021764085
2019-01-16,1.8641271135677067
2019-01-17,1.8710283273728086
2019-01-18,1.8439344388858685
2019-01-21,1.8263542388351446
2019-01-22,1.8698244731300524
2019-01-23,1.8676083260014185
2019-01-24,1.873683160355206
2019-01-25,1.8574386309389246
2019-01-28,1.8503980665293545
2019-01-29,1.8369693705421182
2019-01-30,1.8517399394219591
2019-01-31,1.8384553885725017
2019-02-01,1.8285277707070116
