date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,1.0
2018-12-17,1.0
2018-12-18,1.0
2018-12-19,1.0
2018-12-20,1.0
2018-12-21,1.0
2018-12-24,1.0
2018-12-25,1.0
2018-12-26,1.0
2018-12-27,1.0
2018-12-28,1.0
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-07,1.0
2019-01-08,1.0
2019-01-09,1.0
2019-01-10,0.9999114994156613
2019-01-11,0.9974007609698258
2019-01-14,1.0000191470334165
2019-01-15,0.9823590113932836
2019-01-16,0.9841247259326504
2019-01-17,0.9840835100912312
2019-01-18,0.9816226516919427
2019-01-21,0.9805459142331171
2019-01-22,0.9824131683783484
2019-01-23,0.9818421826808051
2019-01-24,0.9797112918500871
2019-01-25,0.9797740497593388
2019-01-28,0.9791996223549573
2019-01-29,0.9776965647883045
2019-01-30,0.9781071508177438
2019-01-31,0.9770187365784186
2019-02-01,0.9764056249001088
2019-02-11,0.9739775714611528
2019-02-12,0.972564774141417
2019-02-13,0.9721375760249074
2019-02-14,0.971433674290731
2019-02-15,0.9707521139681493
2019-02-18,0.9681676532417004
2019-02-19,0.9685812458500189
2019-02-20,0.9676930080803967
2019-02-21,0.9676573859264895
2019-02-22,0.9684136205713482
2019-02-25,0.9672436559482093
2019-02-26,0.9673875529121037
