date,equity
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,0.999
2018-12-13,0.9913210605652937
2018-12-14,0.9976059550679615
2018-12-17,1.000655509398263
2018-12-18,1.0039273864346743
2018-12-19,1.0126082411371482
2018-12-20,1.0037695430108993
2018-12-21,1.018788701351374
2018-12-24,1.009233285727942
2018-12-25,1.0160965409003164
2018-12-26,1.0366743926748874
2018-12-27,1.0436691725414473
2018-12-28,1.0450916936496977
2019-01-02,1.071164827608718
2019-01-03,1.1138201835012478
2019-01-04,0.9336709081773614
2019-01-07,0.9311988836086399
2019-01-08,0.9321797846685463
2019-01-09,0.8899476645018582
2019-01-10,0.8942767459266647
2019-01-11,0.8826899328530972
2019-01-14,0.8951748997877392
2019-01-15,0.8107835773863256
2019-01-16,0.8200829056885447
2019-01-17,0.8209767710252436
2019-01-18,0.798301421200231
2019-01-21,0.7925352556814134
2019-01-22,0.804082309282058
2019-01-23,0.7975718393235215
2019-01-24,0.784002557004396
2019-01-25,0.7837792450885063
2019-01-28,0.7785186629915547
2019-01-29,0.7701725275950255
2019-01-30,0.7719963054472518
2019-01-31,0.7637762329474798
2019-02-01,0.755114890549755
2019-02-11,0.7370489337109896
2019-02-12,0.7278809681448036
2019-02-13,0.7257363206445107
2019-02-14,0.7215769543016248
2019-02-15,0.7148190723929022
2019-02-18,0.6998393606389989
2019-02-19,0.7024842400284871
